timestamp_ms,sample_sequence,accel_raw_x,accel_raw_y,accel_raw_z,gyro_raw_x,gyro_raw_y,gyro_raw_z,mag_raw_x,mag_raw_y,mag_raw_z,accel_boat_x,accel_boat_y,accel_boat_z,gyro_boat_x,gyro_boat_y,gyro_boat_z,mag_boat_x,mag_boat_y,mag_boat_z,mag_corrected_x,mag_corrected_y,mag_corrected_z,mag_magnitude,dmp_q0,dmp_q1,dmp_q2,dmp_q3,dmp_roll_deg,dmp_pitch_deg,dmp_heading_deg,compass_heading_deg,fusion_heading_deg,output_heading_deg,rate_of_turn_deg_s,active_heading_source,heading_quality,rejection_flags,dmp_sample_age_ms,fifo_error_count,sensor_error_count
0,0,0.0,0.0,1.0,0,0,0,-12.647929299250963,6.633820246046691,43.537190792687994,0.0,0.0,1.0,0,0,0,-12.647929299250963,6.633820246046691,43.537190792687994,-12.647929299250963,6.633820246046691,43.537190792687994,45.8199156343028,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
100,1,0.0,0.0,1.0,0,0,0,-21.407822832875155,11.412727984637474,44.39882997823288,0.0,0.0,1.0,0,0,0,-21.407822832875155,11.412727984637474,44.39882997823288,-21.407822832875155,11.412727984637474,44.39882997823288,50.59447936219058,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
200,2,0.0,0.0,1.0,0,0,0,-14.33515729754554,0.17298084316747442,43.23139672129816,0.0,0.0,1.0,0,0,0,-14.33515729754554,0.17298084316747442,43.23139672129816,-14.33515729754554,0.17298084316747442,43.23139672129816,45.54646330497842,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
300,3,0.0,0.0,1.0,0,0,0,-11.461235579914963,12.76760940432977,42.718949586161855,0.0,0.0,1.0,0,0,0,-11.461235579914963,12.76760940432977,42.718949586161855,-11.461235579914963,12.76760940432977,42.718949586161855,46.03564298089989,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
400,4,0.0,0.0,1.0,0,0,0,-26.42911652669105,7.037569949571086,44.27599829643626,0.0,0.0,1.0,0,0,0,-26.42911652669105,7.037569949571086,44.27599829643626,-26.42911652669105,7.037569949571086,44.27599829643626,52.04219073331316,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
500,5,0.0,0.0,1.0,0,0,0,-5.170387116167826,0.22057762237156986,41.40254907827634,0.0,0.0,1.0,0,0,0,-5.170387116167826,0.22057762237156986,41.40254907827634,-5.170387116167826,0.22057762237156986,41.40254907827634,41.72472441607741,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
600,6,0.0,0.0,1.0,0,0,0,-21.184558626822515,18.271392938147425,43.22928538002487,0.0,0.0,1.0,0,0,0,-21.184558626822515,18.271392938147425,43.22928538002487,-21.184558626822515,18.271392938147425,43.22928538002487,51.49175117027091,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
700,7,0.0,0.0,1.0,0,0,0,-20.635445633188006,-2.502836033161813,42.80161381310071,0.0,0.0,1.0,0,0,0,-20.635445633188006,-2.502836033161813,42.80161381310071,-20.635445633188006,-2.502836033161813,42.80161381310071,47.58218101027909,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
800,8,0.0,0.0,1.0,0,0,0,-2.9227528792642916,9.450924519883388,40.4732242402181,0.0,0.0,1.0,0,0,0,-2.9227528792642916,9.450924519883388,40.4732242402181,-2.9227528792642916,9.450924519883388,40.4732242402181,41.66466535414342,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
900,9,0.0,0.0,1.0,0,0,0,-31.14679946001788,14.234257579089084,43.71186176645444,0.0,0.0,1.0,0,0,0,-31.14679946001788,14.234257579089084,43.71186176645444,-31.14679946001788,14.234257579089084,43.71186176645444,55.52894798679376,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1000,10,0.0,0.0,1.0,0,0,0,-6.916967196566386,-6.559573330394819,40.392172152627055,0.0,0.0,1.0,0,0,0,-6.916967196566386,-6.559573330394819,40.392172152627055,-6.916967196566386,-6.559573330394819,40.392172152627055,41.5018072941729,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1100,11,0.0,0.0,1.0,0,0,0,-13.137752051323886,20.297911980213108,41.07548974305336,0.0,0.0,1.0,0,0,0,-13.137752051323886,20.297911980213108,41.07548974305336,-13.137752051323886,20.297911980213108,41.07548974305336,47.663420118055164,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1200,12,0.0,0.0,1.0,0,0,0,-29.9269600116745,1.651278967767042,42.77787904078919,0.0,0.0,1.0,0,0,0,-29.9269600116745,1.651278967767042,42.77787904078919,-29.9269600116745,1.651278967767042,42.77787904078919,52.233098634851686,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1300,13,0.0,0.0,1.0,0,0,0,2.6887565235877435,1.1081752487993564,38.55494888682454,0.0,0.0,1.0,0,0,0,2.6887565235877435,1.1081752487993564,38.55494888682454,2.6887565235877435,1.1081752487993564,38.55494888682454,38.664473974060996,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1400,14,0.0,0.0,1.0,0,0,0,-28.98885385072078,22.009654648350384,42.31152359400745,0.0,0.0,1.0,0,0,0,-28.98885385072078,22.009654648350384,42.31152359400745,-28.98885385072078,22.009654648350384,42.31152359400745,55.81257541239563,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1500,15,0.0,0.0,1.0,0,0,0,-15.506633237669334,-9.31025994151039,40.241522383639264,0.0,0.0,1.0,0,0,0,-15.506633237669334,-9.31025994151039,40.241522383639264,-15.506633237669334,-9.31025994151039,40.241522383639264,44.11934653073439,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1600,16,0.0,0.0,1.0,0,0,0,-2.131328195096022,16.042898584417618,38.52277866344683,0.0,0.0,1.0,0,0,0,-2.131328195096022,16.042898584417618,38.52277866344683,-2.131328195096022,16.042898584417618,38.52277866344683,41.78422705780298,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1700,17,0.0,0.0,1.0,0,0,0,-36.649484794120745,10.776079592173593,42.47008094443821,0.0,0.0,1.0,0,0,0,-36.649484794120745,10.776079592173593,42.47008094443821,-36.649484794120745,10.776079592173593,42.47008094443821,57.12281857960513,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1800,18,0.0,0.0,1.0,0,0,0,1.642334009230746,-8.082618832540227,37.44468267758301,0.0,0.0,1.0,0,0,0,1.642334009230746,-8.082618832540227,37.44468267758301,1.642334009230746,-8.082618832540227,37.44468267758301,38.3422775668699,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
1900,19,0.0,0.0,1.0,0,0,0,-19.806540795687862,25.995564966062137,40.03075216555375,0.0,0.0,1.0,0,0,0,-19.806540795687862,25.995564966062137,40.03075216555375,-19.806540795687862,25.995564966062137,40.03075216555375,51.67716686444789,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2000,20,0.0,0.0,1.0,0,0,0,-27.534855491835263,-5.70553871024387,40.548717172130466,0.0,0.0,1.0,0,0,0,-27.534855491835263,-5.70553871024387,40.548717172130466,-27.534855491835263,-5.70553871024387,40.548717172130466,49.34490757145838,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2100,21,0.0,0.0,1.0,0,0,0,6.733885699738085,6.393661867259823,36.19936275506275,0.0,0.0,1.0,0,0,0,6.733885699738085,6.393661867259823,36.19936275506275,6.733885699738085,6.393661867259823,36.19936275506275,37.37135256533557,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2200,22,0.0,0.0,1.0,0,0,0,-36.740171442465076,21.29218285584939,41.360702222286264,0.0,0.0,1.0,0,0,0,-36.740171442465076,21.29218285584939,41.360702222286264,-36.740171442465076,21.29218285584939,41.360702222286264,59.27819950630492,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2300,23,0.0,0.0,1.0,0,0,0,-6.918772092946368,-13.797431019072487,37.27285650823184,0.0,0.0,1.0,0,0,0,-6.918772092946368,-13.797431019072487,37.27285650823184,-6.918772092946368,-13.797431019072487,37.27285650823184,40.34233932586753,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2400,24,0.0,0.0,1.0,0,0,0,-6.392824569667346,23.462377209571038,37.194336485611785,0.0,0.0,1.0,0,0,0,-6.392824569667346,23.462377209571038,37.194336485611785,-6.392824569667346,23.462377209571038,37.194336485611785,44.4383844993003,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2500,25,0.0,0.0,1.0,0,0,0,-38.081710500783224,3.912845922614281,40.71089366222188,0.0,0.0,1.0,0,0,0,-38.081710500783224,3.912845922614281,40.71089366222188,-38.081710500783224,3.912845922614281,40.71089366222188,55.88294821013222,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2600,26,0.0,0.0,1.0,0,0,0,9.08516945740272,-5.419661097859567,34.658516844545844,0.0,0.0,1.0,0,0,0,9.08516945740272,-5.419661097859567,34.658516844545844,9.08516945740272,-5.419661097859567,34.658516844545844,36.23707797752247,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2700,27,0.0,0.0,1.0,0,0,0,-28.758372238652857,28.83094496875225,39.24774005055634,0.0,0.0,1.0,0,0,0,-28.758372238652857,28.83094496875225,39.24774005055634,-28.758372238652857,28.83094496875225,39.24774005055634,56.556630563393576,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2800,28,0.0,0.0,1.0,0,0,0,-20.700225274493327,-12.905680061007356,37.77796686081045,0.0,0.0,1.0,0,0,0,-20.700225274493327,-12.905680061007356,37.77796686081045,-20.700225274493327,-12.905680061007356,37.77796686081045,44.96921929929791,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
2900,29,0.0,0.0,1.0,0,0,0,6.44658901710627,14.23564988177246,34.38811071561588,0.0,0.0,1.0,0,0,0,6.44658901710627,14.23564988177246,34.38811071561588,6.44658901710627,14.23564988177246,34.38811071561588,37.7724025725309,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3000,30,0.0,0.0,1.0,0,0,0,-42.43003427807439,16.64079569870731,40.13465904151779,0.0,0.0,1.0,0,0,0,-42.43003427807439,16.64079569870731,40.13465904151779,-42.43003427807439,16.64079569870731,40.13465904151779,60.72902721683898,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3100,31,0.0,0.0,1.0,0,0,0,2.8688882402427716,-14.966874418437438,34.177469360750145,0.0,0.0,1.0,0,0,0,2.8688882402427716,-14.966874418437438,34.177469360750145,2.8688882402427716,-14.966874418437438,34.177469360750145,37.421080442676896,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3200,32,0.0,0.0,1.0,0,0,0,-14.464833491418155,29.83481058024974,36.32498764920615,0.0,0.0,1.0,0,0,0,-14.464833491418155,29.83481058024974,36.32498764920615,-14.464833491418155,29.83481058024974,36.32498764920615,49.18182650134919,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3300,33,0.0,0.0,1.0,0,0,0,-35.03931060649198,-4.672473901901089,38.39498622223299,0.0,0.0,1.0,0,0,0,-35.03931060649198,-4.672473901901089,38.39498622223299,-35.03931060649198,-4.672473901901089,38.39498622223299,52.18965670655086,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3400,34,0.0,0.0,1.0,0,0,0,13.648671368825571,0.8404945890495368,32.2454431920729,0.0,0.0,1.0,0,0,0,13.648671368825571,0.8404945890495368,32.2454431920729,13.648671368825571,0.8404945890495368,32.2454431920729,35.025151933169695,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3500,35,0.0,0.0,1.0,0,0,0,-37.86657056357464,28.022833086463546,38.46208071888032,0.0,0.0,1.0,0,0,0,-37.86657056357464,28.022833086463546,38.46208071888032,-37.86657056357464,28.022833086463546,38.46208071888032,60.815195417458284,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3600,36,0.0,0.0,1.0,0,0,0,-10.769740393574288,-18.257638221800306,34.640178431938445,0.0,0.0,1.0,0,0,0,-10.769740393574288,-18.257638221800306,34.640178431938445,-10.769740393574288,-18.257638221800306,34.640178431938445,40.611213025218326,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3700,37,0.0,0.0,1.0,0,0,0,1.7029512511086047,22.95330332113407,33.12629483908044,0.0,0.0,1.0,0,0,0,1.7029512511086047,22.95330332113407,33.12629483908044,1.7029512511086047,22.95330332113407,33.12629483908044,40.33739686793539,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3800,38,0.0,0.0,1.0,0,0,0,-44.56631965825988,8.840703252281738,38.45586109594744,0.0,0.0,1.0,0,0,0,-44.56631965825988,8.840703252281738,38.45586109594744,-44.56631965825988,8.840703252281738,38.45586109594744,59.52451708756577,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
3900,39,0.0,0.0,1.0,0,0,0,11.809660979914593,-12.316505810812039,31.208299563204044,0.0,0.0,1.0,0,0,0,11.809660979914593,-12.316505810812039,31.208299563204044,11.809660979914593,-12.316505810812039,31.208299563204044,35.56855872079955,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4000,40,0.0,0.0,1.0,0,0,0,-24.82753000759148,33.65946661065951,35.72017465059327,0.0,0.0,1.0,0,0,0,-24.82753000759148,33.65946661065951,35.72017465059327,-24.82753000759148,33.65946661065951,35.72017465059327,55.00269825982034,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4100,41,0.0,0.0,1.0,0,0,0,-27.732275820901343,-13.281364690455614,35.55813881270071,0.0,0.0,1.0,0,0,0,-27.732275820901343,-13.281364690455614,35.55813881270071,-27.732275820901343,-13.281364690455614,35.55813881270071,47.00909492928707,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4200,42,0.0,0.0,1.0,0,0,0,14.145263100250965,9.68867247252077,30.34446682957536,0.0,0.0,1.0,0,0,0,14.145263100250965,9.68867247252077,30.34446682957536,14.145263100250965,9.68867247252077,30.34446682957536,34.85319941736056,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4300,43,0.0,0.0,1.0,0,0,0,-45.18360998074299,23.377049011756142,37.434782578457295,0.0,0.0,1.0,0,0,0,-45.18360998074299,23.377049011756142,37.434782578457295,-45.18360998074299,23.377049011756142,37.434782578457295,63.16176040996891,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4400,44,0.0,0.0,1.0,0,0,0,0.5695086308985875,-20.480668254685053,31.349023152229748,0.0,0.0,1.0,0,0,0,0.5695086308985875,-20.480668254685053,31.349023152229748,0.5695086308985875,-20.480668254685053,31.349023152229748,37.45054558799069,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4500,45,0.0,0.0,1.0,0,0,0,-6.941390457092458,30.855967517954067,32.33597133348282,0.0,0.0,1.0,0,0,0,-6.941390457092458,30.855967517954067,32.33597133348282,-6.941390457092458,30.855967517954067,32.33597133348282,45.231500915033465,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4600,46,0.0,0.0,1.0,0,0,0,-42.29778334910962,-0.887151320098317,36.22764009346048,0.0,0.0,1.0,0,0,0,-42.29778334910962,-0.887151320098317,36.22764009346048,-42.29778334910962,-0.887151320098317,36.22764009346048,55.69857646703615,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4700,47,0.0,0.0,1.0,0,0,0,18.099370990908213,-5.970504525857036,28.58493281976586,0.0,0.0,1.0,0,0,0,18.099370990908213,-5.970504525857036,28.58493281976586,18.099370990908213,-5.970504525857036,28.58493281976586,34.355968024061504,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4800,48,0.0,0.0,1.0,0,0,0,-35.664825776284516,33.90903041917932,35.15198530896541,0.0,0.0,1.0,0,0,0,-35.664825776284516,33.90903041917932,35.15198530896541,-35.664825776284516,33.90903041917932,35.15198530896541,60.47697258282095,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
4900,49,0.0,0.0,1.0,0,0,0,-17.049954681496466,-20.274787081509928,32.318740206965344,0.0,0.0,1.0,0,0,0,-17.049954681496466,-20.274787081509928,32.318740206965344,-17.049954681496466,-20.274787081509928,32.318740206965344,41.78838252920258,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5000,50,0.0,0.0,1.0,0,0,0,10.08437724651564,19.72508452970962,29.007142747243016,0.0,0.0,1.0,0,0,0,10.08437724651564,19.72508452970962,29.007142747243016,10.08437724651564,19.72508452970962,29.007142747243016,36.499150051928126,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5100,51,0.0,0.0,1.0,0,0,0,-49.100678264536704,15.332502278877662,35.97199591622566,0.0,0.0,1.0,0,0,0,-49.100678264536704,15.332502278877662,35.97199591622566,-49.100678264536704,15.332502278877662,35.97199591622566,62.76899491282532,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5200,52,0.0,0.0,1.0,0,0,0,11.42725915382766,-18.831140954620558,28.139778488816432,0.0,0.0,1.0,0,0,0,11.42725915382766,-18.831140954620558,28.139778488816432,11.42725915382766,-18.831140954620558,28.139778488816432,35.73571399624166,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5300,53,0.0,0.0,1.0,0,0,0,-18.292260899388893,36.40690136553977,31.86213631539197,0.0,0.0,1.0,0,0,0,-18.292260899388893,36.40690136553977,31.86213631539197,-18.292260899388893,36.40690136553977,31.86213631539197,51.7229640143725,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5400,54,0.0,0.0,1.0,0,0,0,-35.508456955583526,-11.009687524813476,33.44498269204935,0.0,0.0,1.0,0,0,0,-35.508456955583526,-11.009687524813476,33.44498269204935,-35.508456955583526,-11.009687524813476,33.44498269204935,50.00630562271164,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5500,55,0.0,0.0,1.0,0,0,0,20.37610688747113,3.333546126984764,26.469284832988876,0.0,0.0,1.0,0,0,0,20.37610688747113,3.333546126984764,26.469284832988876,20.37610688747113,3.333546126984764,26.469284832988876,33.5696485123136,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5600,56,0.0,0.0,1.0,0,0,0,-45.07576966318008,30.146745967000843,34.38566816277946,0.0,0.0,1.0,0,0,0,-45.07576966318008,30.146745967000843,34.38566816277946,-45.07576966318008,30.146745967000843,34.38566816277946,64.21078942146508,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5700,57,0.0,0.0,1.0,0,0,0,-4.449056946571954,-24.26987184260952,28.86293689449699,0.0,0.0,1.0,0,0,0,-4.449056946571954,-24.26987184260952,28.86293689449699,-4.449056946571954,-24.26987184260952,28.86293689449699,37.97222554902788,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
5800,58,0.0,0.0,1.0,0,0,0,1.7265324728476728,29.336926129551458,28.192031742425435,0.0,0.0,1.0,0,0,0,1.7265324728476728,29.336926129551458,28.192031742425435,1.7265324728476728,29.336926129551458,28.192031742425435,40.723786696186295,1.0,0,0,0,0,0,0,0,0,0,0,software_compass,good,0,0,0,0
