timestamp_ms,sample_sequence,accel_raw_x,accel_raw_y,accel_raw_z,gyro_raw_x,gyro_raw_y,gyro_raw_z,mag_raw_x,mag_raw_y,mag_raw_z,accel_boat_x,accel_boat_y,accel_boat_z,gyro_boat_x,gyro_boat_y,gyro_boat_z,mag_boat_x,mag_boat_y,mag_boat_z,mag_corrected_x,mag_corrected_y,mag_corrected_z,mag_magnitude,dmp_q0,dmp_q1,dmp_q2,dmp_q3,dmp_roll_deg,dmp_pitch_deg,dmp_heading_deg,compass_heading_deg,fusion_heading_deg,output_heading_deg,rate_of_turn_deg_s,active_heading_source,heading_quality,rejection_flags,dmp_sample_age_ms,fifo_error_count,sensor_error_count
0,0,0,0,1,0,0,12,22,0,45,0,0,1,0,0,12,22,0,45,22,0,45,50.0899,1,0,0,0,0,0,0,0,1.19996,0,12,software_compass,2,1,0,0,0
100,1,0,0,1,0,0,12,21.9952,-0.460733,45,0,0,1,0,0,12,21.9952,-0.460733,45,21.9952,-0.460733,45,50.0899,0.999945,0,0,0.0104718,0,0,1.2,358.8,2.39991,358.8,12,software_compass,2,1,0,0,0
200,2,0,0,1,0,0,12,21.9807,-0.921264,45,0,0,1,0,0,12,21.9807,-0.921264,45,21.9807,-0.921264,45,50.0899,0.999781,0,0,0.0209424,0,0,2.4,357.6,3.59987,357.6,12,software_compass,2,1,0,0,0
300,3,0,0,1,0,0,12,21.9566,-1.38139,45,0,0,1,0,0,12,21.9566,-1.38139,45,21.9566,-1.38139,45,50.0899,0.999507,0,0,0.0314108,0,0,3.6,356.4,4.79983,356.4,12,software_compass,2,1,0,0,0
400,4,0,0,1,0,0,12,21.9228,-1.84091,45,0,0,1,0,0,12,21.9228,-1.84091,45,21.9228,-1.84091,45,50.0899,0.999123,0,0,0.0418757,0,0,4.8,355.2,5.99979,355.2,12,software_compass,2,1,0,0,0
500,5,0,0,1,0,0,12,21.8795,-2.29963,45,0,0,1,0,0,12,21.8795,-2.29963,45,21.8795,-2.29963,45,50.0899,0.99863,0,0,0.052336,0,0,6,354,7.19976,354,12,software_compass,2,1,0,0,0
600,6,0,0,1,0,0,12,21.8265,-2.75733,45,0,0,1,0,0,12,21.8265,-2.75733,45,21.8265,-2.75733,45,50.0899,0.998027,0,0,0.0627905,0,0,7.2,352.8,8.39972,352.8,12,software_compass,2,1,0,0,0
700,7,0,0,1,0,0,12,21.764,-3.21383,45,0,0,1,0,0,12,21.764,-3.21383,45,21.764,-3.21383,45,50.0899,0.997314,0,0,0.0732382,0,0,8.4,351.6,9.59968,351.6,12,software_compass,2,1,0,0,0
800,8,0,0,1,0,0,12,21.6919,-3.66891,45,0,0,1,0,0,12,21.6919,-3.66891,45,21.6919,-3.66891,45,50.0899,0.996493,0,0,0.0836778,0,0,9.6,350.4,10.7996,350.4,12,software_compass,2,1,0,0,0
900,9,0,0,1,0,0,12,21.6103,-4.12239,45,0,0,1,0,0,12,21.6103,-4.12239,45,21.6103,-4.12239,45,50.0899,0.995562,0,0,0.0941083,0,0,10.8,349.2,11.9996,349.2,12,software_compass,2,1,0,0,0
